"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bronchiolits_lab_test,hospitalization_laboratory_and_diagnostic_results,,radio,"Was a rapid test performed or a PCR sent to the laboratory for diagnosis of a pathogen for suspected bronchiolitis? ","1, Yes | 0, No | 9, Unknown",,,,,,"[history(2)] = '1' or [physical_exam(5)] = '1'",,,,,,
bronchiolitis_lab_results,hospitalization_laboratory_and_diagnostic_results,,checkbox,"What organism(s) was detected from the test for bronchiolitis for this child presenting with a history of [history] or [physical_exam] noted during the physical exam.
","1, Human metapneumovirus A or B | 2, Parainfluenza 1 | 3, Respiratory Syncytial Virus | 4, Other | 5, None",,,,,,[bronchiolits_lab_test]=1,,,,,,
other_organ,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,[bronchiolitis_lab_results(4)]=1,,,,,,
diarr_lab_test_types,hospitalization_laboratory_and_diagnostic_results,,checkbox,"Please indicate which of the following tests were performed to identify the cause of the infectious diarrheal illness. (Select all that apply)","1, Culture | 2, PCR | 3, Ova and Parasites | 4, None | 9, Unknown",,,,,,"([history(4)] = '1' or [physical_exam(7)] = '1') and ([diarr_abx_use] = '0' or [diarr_abx_use] = '9' or [diarr_toxin] = '0' or [diarr_toxin] = '9')",,,,,,
diarr_lab_results,hospitalization_laboratory_and_diagnostic_results,,checkbox,"What organism(s) was/were detected from the stool specimen for this child presenting with an infectious diarrheal illness where the diarrheal event had been present for [diarr_duration] days.","1, Astrovirus | 2, Campylobacter | 3, Cryptosporidium spp. | 4, Cyclospora | 5, Entamoeba histolytica | 6, Escherichia coli (species unknown) | 7, Enteroaggregative Escherichia coli | 8, Enteropathogenic Escherichia coli | 9, Giardia lamblia | 10, Norovirus | 11, Rotavirus | 12, Salmonella | 13, Shiga-toxin producing Escherichia coli | 14, Shigella | 15, Other | 16, None | 99, Unknown",,,,,,"[diarr_lab_test_types(3)] = '1' or [diarr_lab_test_types(1)] = '1' or [diarr_lab_test_types(2)] = '1'",,,,,,
other_organism,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,[diarr_lab_results(15)]=1,,,,,,
meningitis_lab_test_types,hospitalization_laboratory_and_diagnostic_results,,checkbox,"Please indicate which of the following tests were performed on cerebral spinal fluid (CSF) to evaluate for possible meningitis in this child who was admitted with a fever and at least one of the following: a bulging fontanelle, or headache, or vomiting, or convulsions, or neck stiffness or a decreased level of consciousness. (Select all that apply)","1, Gram Stain | 2, Culture | 3, Polymerase Chain Reaction (PCR) | 4, Test for Acid Fast Bacilli (AFB) | 5, CSF Cell counts | 6, Other | 7, None | 9, Unknown",,,,,,"[history(1)] = '1' or [history(6)] = '1' or [history(7)] = '1' or [history(12)] = '1' or [history(9)] = '1' or [physical_exam(1)] = '1' or [physical_exam(2)] = '1' or [physical_exam(6)] = '1' or [physical_exam(9)] = '1' or [physical_exam(11)] = '1' or [physical_exam(13)] = '1' or [history(3)] = '1'",,,,,,
other_csftest,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,[meningitis_lab_test_types(5)]=1,,,,,,
menningitis_lab_results,hospitalization_laboratory_and_diagnostic_results,,checkbox,"What organism(s) was/were detected from the CSF specimen?  (Select all that apply):","1, Coxsackievirus | 2, Echovirus | 3, Enterovirus | 4, Escherichia coli | 5, Haemophilus Influenzae b | 6, Haemophilus Influenzae non-typeable | 7, Herpesvirus | 8, Listeria monocytogenes | 9, Mycobacterium tuberculosis | 10, Neisseria meningitidis | 11, Poliovirus | 12, Powassan virus | 13, Streptococcus agalaciatiae | 14, Streptococcus pneumoniae | 15, West Nile virus | 16, Western Equine virus | 17, Other | 18, None | 99, Unknown",,,,,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
other_org,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,[menningitis_lab_results(17)]=1,,,,,,
meningitis_bloodcx,hospitalization_laboratory_and_diagnostic_results,,radio,"Was a blood culture obtained?
","1, Yes | 0, No | 9, Unknown",,,,,,"[meningitis_lab_test_types(1)] = '1' or [meningitis_lab_test_types(2)] = '1' or [meningitis_lab_test_types(3)] = '1' or [meningitis_lab_test_types(4)] = '1' or [meningitis_lab_test_types(6)] = '1'",,,,,,
m_bloodcx_res,hospitalization_laboratory_and_diagnostic_results,,checkbox,"Please indicate any pathogen that grew from the blood bacterial or viral culture or viral PCR. (Select all that apply)","1, Escherichia coli | 2, Haemophilus Influenzae b | 3, Haemophilus Influenzae non-typeable | 4, Herpesvirus | 5, Listeria monocytogenes | 6, Mycobacterium tuberculosis | 7, Neisseria meningitidis | 8, Poliovirus | 9, Streptococcus agalaciatiae | 10, Streptococcus pneumoniae | 11, Other | 12, None | 99, Unknown",,,,,,[meningitis_bloodcx]=1,,,,,,
other_path,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,[m_bloodcx_res(11)]=1,,,,,,
info_wbc,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;""><em>Instructions: Do not enter commas. If no white blood cells (WBCs) were detected, please enter 0</em></span></p></div>",,,,,,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
csf_wbc,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate how many white blood cells per mm3 were detected in the CSF</p></div>",,WBC/mm3,integer,0,999999,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
info_rbc,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;""><em>Instructions: Do not enter commas. If no red blood cells (RBCs) were detected, please enter 0.</em></span><br /><br /><span style=""color: #000080;""><em>Please round the red blood cell count to the nearest whole number when recording results (e.g if RBCs are reported as 1537.2, please report as 1537).</em></span></p></div>",,,,,,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
csf_rbc,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate how many red blood cells per mm3 were detected in the CSF<br /><br /></p></div>",,RBC/mm3,integer,0,999999,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
info_protein,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: justify;""><span style=""color: #000080;""><em>Instructions: CSF protein concentration will be considered in the algorithm for meningitis certainty of diagnosis if a pathogen is not identified in the CSF or blood culture. Criteria for elevated protein in CSF is based on published pediatric infectious disease literature.4 A CSF protein level > 0.6 g/L for infants 29 days to 3 months, or > 0.4 g/L for children > 3 months of age will be considered consistent with meningitis</em></span></p></div>",,,,,,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
csf_protein,hospitalization_laboratory_and_diagnostic_results,,text,"Please indicate the CSF protein level.",,"CSF Protein Level (g/L)",integer,0,9999,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
info_glucose,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: justify;""><em><span style=""color: #000080;"">Instructions: CSF glucose will be considered in the algorithm for meningitis certainty of diagnosis if a pathogen is not identified in the CSF or blood culture. Criteria for low protein in CSF is based on published pediatric infectious disease literature. A CSF glucose level < 0.2 mmol/L in children < 6 months of age or < 2.4 mmol/L in children ≥ 6 months of age will be considered consistent with meningitis. If the CSF glucose value is reported in mg/dL, multiple the value by 0.0555 to ascertain the glucose level in mmol/L.</span></em></p> <p class=""MsoNoSpacing""><span style=""color: #000080;""><em><span lang=""EN-US"" style=""font-size: 9pt; font-family: Arial, sans-serif;"">If the value of CSF glucose is < 1, please enter a leading zero, followed by a decimal point and the value. If the value is ≥ 1, enter the value followed by a decimal point any additional value up to the nearest one hundredth.</span></em></span></p> <p class=""MsoNoSpacing""> </p></div>",,,,,,,,,,,,,
csf_glucose,hospitalization_laboratory_and_diagnostic_results,,text,"Please indicate the CSF glucose level.",,"CSF glucose level (mmol/L)",integer,0,9999,,"[meningitis_lab_test_types(5)] = '1'",,,,,,
mal_diag,hospitalization_laboratory_and_diagnostic_results,,radio,"Was a parasitic-based diagnostic test, either microscopy or rapid diagnostic test, used to evaluate this child for a diagnosis of malaria?","1, Yes | 0, No | 9, Unknown",,,,,,"[history(6)] = '1'",,,,,,
mal_result,hospitalization_laboratory_and_diagnostic_results,,radio,"What was the result of the parasitic diagnostic test positive for malaria?","1, Yes | 0, No | 9, Unknown",,,,,,"[history(6)] = '1'",,,,,,
info_gen,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: justify;""><span style=""color: #000080;"">General Instructions: In some settings, parasitic diagnostic testing may not be available, the World Health Organizationís Integrated Management of Childhood Illness has identified laboratory signs of malaria including anemia, metabolic acidosis, hypoglycemia, indirect hyperbilirubinemia, and acute renal failure. Values that our outside the normal range according to the Division of AIDS (DAIDS) Table for Grading of Severity of Adult and Pediatric Adverse Events will be used to assess for lab abnormalities consistent with a diagnosis of malaria</span></p></div>",,,,,,,"[history(6)] = '1'",,,,,,
mal_fbc,hospitalization_laboratory_and_diagnostic_results,,radio,"Was a full blood count obtained?  This is often called a complete blood count in some settings","1, Yes | 0, No | 9, Unknown",,,,,,"[history(6)] = '1'",,,,,,
info_hemog,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;"">Instructions: Hemoglobin varies by age. a value of hemoglobin < 5.88 mmol/L (9.5 g/dL) in infants 29 0- 35 days old and those ≥ 57 days of age is consistent with anemia, whereas infants ≥ 36 days of life to ≤ 56 days of life with a hemoglobin of < 5.26 mmol/L (8.5 mg/dL) are considered to be anemic</span></p></div>",,,,,,,[mal_fbc]=1,,,,,,
mal_hgb,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the hemoglobin level in mmol/L. To convert a hemoglobin level from mg/dL to mmol/L multiple the value by 0.6188. <br /><br /><span style=""color: #000080;""><em>Enter the value with a decimal point and report out to the hundredth, if that level of precision is available.</em></span></p></div>",,"Hemoglobin value (mmol/L)",,,,,[mal_fbc]=1,,,,,,
mal_chem,hospitalization_laboratory_and_diagnostic_results,,radio,"Was a chemistry obtained?  ","1, Yes | 0, No | 9, Unknown",,,,,,,,,,,,
info_bica,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;""><em>Instructions:</em> The presence of a metabolic acidosis in a child suspected of having malaria represents one of the WHO criteria for diagnosis of malaria. Bicarbonate level will be used to assess for metabolic acidosis. DAIDS criteria for low bicarbonate is < 16.0 mmol/L or mEq/L</span></p></div>",,,,,,,[mal_chem]=1,,,,,,
mal_hco3,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the bicarbonate level (HC03). <br /><em>(Same value whether reported as mmol/L or mEq/L)</em></p> <p> </p> <p class=""MsoNoSpacing""><em><span lang=""EN-US"" style=""font-size: 9.0pt; font-family: 'Arial',sans-serif; color: #2f5496; mso-themecolor: accent1; mso-themeshade: 191;""><span style=""color: #000080;"">Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available.</span></span></em></p></div>",,"HC03 or bicarbonate (mmol/L or mEq/L)",,,,,[mal_chem]=1,,,,,,
info_hypo,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;"">Instructions: The presence of a hypoglycemia in a child suspected of having malaria represents one of the WHO criteria for diagnosis of malaria. DAIDS criteria defines a glucose levels < 3.05 mmol/L (<55 mg/dL) among children 29 days of age or older to be consistent with grade 2 or higher hypoglycemia. If the value of glucose is reported in mg/dL, multiple the value by 0.0555 to ascertain the glucose level in mmol/L</span></p></div>",,,,,,,[mal_chem]=1,,,,,,
mal_glucose,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the glucose level. <br /><br /><em><span style=""color: #000080;"">Enter the value with a decimal point and report out to the nearest hundredth, if that level of precision is available.</span></em></p></div>",,"Glucose (mmol/L)",number,0,9999,,[mal_chem]=1,,,,,,
info_malaria,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;"">Instructions: The presence of an indirect hyperbilirubinemia in a child suspected of having malaria represents one of the WHO criteria for diagnosis of malaria. However, indirect bilirubin values are usually derived from the difference between total bilirubin and direct bilirubin. In this case, DAIDS defines elevated total bilirubin as 1.6 x the upper limit of normal and direct bilirubin as greater than the upper limit of normal given variation in population characteristics. Therefore, the childís lab result with upper limit of normal for both total and direct bilirubin, in addition to the childís actual lab values for these will be required to calculate indirect hyperbilirubinemia. If direct bilirubin is not elevated above the upper limit of normal in the presence to elevation of total bilirubin, this will be deemed to reflect indirect hyperbilirubinemia.</span></p></div>",,,,,,,[mal_chem]=1,,,,,,
mal_tbili_uln_avail,hospitalization_laboratory_and_diagnostic_results,,yesno,"Is the upper limit of normal for the lab value of total bilirubin available?",,,,,,,[mal_chem]=1,,,,,,
mal_tbili_uln,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the upper limit of a normal total bilirubin as reported by the lab in µmol/L. If the upper limit of normal is reported mg/dL, multiple this value by 17.1 to convert it to µmol/L<br /><br /><em><span style=""color: #000080;"">Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available</span></em></p></div>",,"Upper Limit of Normal for Total Bilirubin (µmol/L)",,,,,[mal_tbili_uln_avail]=1,,,,,,
mal_tbili,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the total bilirubin value reported for this child. If the upper limit of normal is reported mg/dL, multiple this value by 17.1 to convert it to µmol/L.<br /><br /><span style=""color: #000080;""><em>Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available.</em></span></p></div>",,"Total Bilirubin (µmol/L)",,,,,[mal_tbili_uln_avail]=1,,,,,,
mal_dbili_uln_avail,hospitalization_laboratory_and_diagnostic_results,,yesno,"Is the upper limit of normal for the lab value of direct bilirubin available?",,,,,,,[mal_tbili_uln_avail]=1,,,,,,
mal_dbili_uln,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the upper limit of a normal direct bilirubin as reported by the lab in µmol/L. If the upper limit of normal is reported mg/dL, multiply this value by 17.1 to convert it to µmol/L<br /><br /><span style=""color: #000080;""><em>Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available</em></span></p></div>",,"Upper Limit of Normal for Direct Bilirubin (µmol/L)",,,,,[mal_tbili_uln_avail]=1,,,,,,
mal_ibili,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the direct bilirubin value reported for this child. If the upper limit of normal is reported mg/dL, multiple this value by 17.1 to convert it to µmol/L<br /><br /><span style=""color: #000080;""><em>Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available.</em></span></p></div>",,"Total Bilirubin (µmol/L)",,,,,[mal_tbili_uln_avail]=1,,,,,,
info_creat,hospitalization_laboratory_and_diagnostic_results,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000080;"">Instructions: The presence of an acute renal failure in a child suspected of having malaria represents one of the WHO criteria for diagnosis of malaria. Elevated creatinine can be used as a measure of acute renal failure. DAIDS defines elevated creatinine in two ways, either as more than 1.3 x the upper limit of normal or a 10% decrease or more from a child's baseline. As baseline values of creatinine are less likely to be available, this INFORM instrument will rely on increase in creatinine above the upper limit of normal only, and not a change from baseline.</span></p></div>",,,,,,,[mal_tbili_uln_avail]=1,,,,,,
mal_cr_uln_avail,hospitalization_laboratory_and_diagnostic_results,,yesno,"Is the upper limit of normal for the lab value of creatinine available?",,,,,,,[mal_tbili_uln_avail]=1,,,,,,
mal_cr_uln,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the upper limit of creatinine as reported by the lab in µmol/L. If the upper limit of normal is reported mg/dL, multiple this value by 88 to convert it to µmol/L.<br /><br /><span style=""color: #000080;""><em>Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available.</em></span></p></div>",,"Upper Limit of Normal for Creatinine (µmol/L",,,,,[mal_cr_uln_avail]=1,,,,,,
mal_cr,hospitalization_laboratory_and_diagnostic_results,,text,"<div class=""rich-text-field-label""><p>Please indicate the creatinine value reported for this child. If the upper limit of normal is reported mg/dL, multiple this value by 88 to convert it to µmol/L.<br /><br /><em><span style=""color: #000080;"">Enter the value with a decimal point and report out to the nearest tenth, if that level of precision is available.</span></em></p></div>",,"Creatinine (µmol/L)",,,,,"[history(6)] = '1' and [history(8)] = '1' or [physical_exam(9)] = '1'",,,,,,
