"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cardiac_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Congestive Cardiac Failure","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(6)] = '1'",y,,,,,
croup_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Croup,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(7)] = '1'",y,,,,,
diabetes_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Diabetes,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(8)] = '1'",y,,,,,
diarrheal_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Diarrheal Disease","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(9)] = '1'",y,,,,,
epilepsy_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Epilepsy,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(10)] = '1'",y,,,,,
gastroenteritis_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Gastroenteritis (Both vomiting and diarrhea)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(11)] = '1'",y,,,,,
hiv_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"HIV Infection","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(12)] = '1'",y,,,,,
injury_rank_,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Injury (Accidental or intentional, including animal bite, fall, insect bite, motor collision, physical abuse, etc.)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(13)] = '1'",y,,,,,
kidney_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Kidney Disease","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(14)] = '1'",y,,,,,
liver_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Liver Disease","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(15)] = '1'",y,,,,,
malaria_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Malaria,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(16)] = '1'",y,,,,,
malnutrition_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Malnutrition,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(17)] = '1'",y,,,,,
measles_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Measles,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(18)] = '1'",y,,,,,
meningitis_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Meingitis,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(19)] = '1'",y,,,,,
pneumonia_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Pneumonia,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(20)] = '1'",y,,,,,
poisoning_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Poisoning/Accidental Ingestion","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(21)] = '1'",y,,,,,
sepsis_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Sepsis,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(22)] = '1'",y,,,,,
sickle_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Sickle Cell Disease","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(23)] = '1'",y,,,,,
tb_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Tuberculosis,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(24)] = '1'",y,,,,,
urt_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Upper Repiratory Tract","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(25)] = '1'",y,,,,,
infection_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Infection,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(26)] = '1'",y,,,,,
other_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,[other_cause],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(27)] = '1'",y,,,,,
description,inform_health_facilitybased_cause_of_death_event_c,,notes,"If further descriptive detail about the cause of death is deemed to add more information, please provide text here:",,,,,,,,,,,,,
source,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"Source of assignment of cause of death (Select all that apply):","1, Medical Record | 2, World Health Organization Formatted Death Certificate | 3, Death Certificate in a non-World Health Organization Format | 4, Autopsy report performed by a medical examiner | 5, Death Audit (Post-Mortem Qualitative Assessment of Cause of Death) | 6, Other",,,,,,,,,,,,
other_source,inform_health_facilitybased_cause_of_death_event_c,,text,"Other source:",,,,,,,[source(6)]=1,,,,,,
declared_by,inform_health_facilitybased_cause_of_death_event_c,,radio,"Who made the decision on cause of death?","1, An adjudication panel blinded to the child's HIV exposure status | 2, A clinician blinded to the child's HIV exposure status | 3, A clinician not blinded to the child's HIV exposure status | 4, A research associate conducting medical chart abstraction | 5, Other (Specify) | 6, Unknown",,,,,,,,,,,,
other_specify,inform_health_facilitybased_cause_of_death_event_c,,text,"Other specify",,,,,,,[declared_by]=1,,,,,,
cancer_type,inform_health_facilitybased_cause_of_death_event_c,,radio,"It is indicated that the cause of death was cancer. Listed below are the most common types of cancer in children up to age 5. Please indicate the type of cancer.","1, Astrocytoma | 2, Craniopharyngioma | 3, Ependymal Tumors | 4, Germ Cell Tumors | 5, Kaposi's Sarcoma | 6, Leukemia | 7, Lymphoma | 8, Medulloblastoma | 9, Neuroblastoma | 10, Retinoblastoma | 11, Wilms Tumor | 12, Other (Specify) | 99, Unknown",,,,,,,,,,,,
other_cancer,inform_health_facilitybased_cause_of_death_event_c,,text,"Other cancer, specify:",,,,,,,[cancer_type]=12,,,,,,
birth_defect,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"It is indicated that the cause of death was a congenital anomaly or birth defect. Listed below are the most common type of congenital anomalies or birth defects that are associated with death in children up to age 5. Please indicate the type of congenital anomaly or birth defect that resulted in this child's death. You may select more than one.","1, Atrioventricular Septal Defect (Congenital Heart Disease) | 2, Common Arterial Trunk (Persistent Truncus Arteriosus Congenital Heart Disease) | 3, Diaphragmatic Hernia | 4, Hydrocephalus (Nervous System Congenital Anomaly) | 5, Omphalocele | 6, Single Ventricle/Hypoplastic Left Heart (Congenital Heart Disease) | 7, Skeletal Dysplasia | 8, Spina Bifida (Neural tube defect) | 9, Tetralogy of Fallot (Congenital Heart Disease) | 10, Transposition of the Great Vessels (Congenital Heart Disease) | 11, Tricuspid Atresia/Stenosis (Congenital Heart Disease) | 12, Ventral Septal Defect (Congenital Heart Disease) | 13, Other (Specify) | 99, Unknown",,,,,,,,,,,,
other_defects,inform_health_facilitybased_cause_of_death_event_c,,text,"Other congenital anomaly or birth defect: specify",,,,,,,[birth_defect(13)]=1,,,,,,
pna_lab_test_types_2,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"What type of test or tests were performed? (Select all that apply)","1, Gram Stain | 2, Culture | 3, Antigen detection by PCR | 4, Rapid Diagnostic Test",,,,,,,,,,,,
sepsis_labs,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"It is indicated that the cause of death was sepsis. Was a sample sent to the laboratory for diagnosis of a pathogen?","1, Yes | 0, No | 9, Unknown",,,,,,,,,,,,
sep_lab_test_types,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"What type of test or tests were performed? (Select all that apply)","1, Gram Stain | 2, Culture | 3, Antigen detection by PCR | 4, Rapid Diagnostic Test",,,,,,,,,,,,
sep_lab_specimen_types,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"Indicate the specimen type or types sent to the laboratory. (Select all that apply)","1, Blood | 2, Nasopharyngeal Swab/Nasopharyngeal aspirate | 3, Oropharyngeal | 4, Pleural Fluid | 5, Sputum | 6, Urine | 7, Wound | 8, Other (specify)",,,,,,,,,,,,
specify,inform_health_facilitybased_cause_of_death_event_c,,text,"Other, specify:",,,,,,,[sep_lab_specimen_types(8)]=1,,,,,,
sep_lab_test_results,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"What organism(s) was detected from the [sep_lab_specimen_types] specimen for this child whose cause of death was sepsis?   (Select all that apply)","1, Acenitobacter | 2, Adenovirus | 3, Bordetella pertussis | 4, Burkholderia sp | 5, Candida sp | 6, Cytomegalovirus | 7, COVID-19 (SARS-CoV-2) | 8, Enterovirus | 9, Hemophilus influenzae non-type B | 10, Hemophilus influenzae type B | 11, Herpes Simplex Virus | 12, Human metapneumovirus A or B | 13, Influenza A | 14, Malaria | 15, Moraxella catarrhalis (PERCH 66.4% via NP w/+CXR) | 16, Neisseria meningitidis | 17, Parainfluenza | 18, Pseudomonas | 19, Respiratory Syncytial Virus | 20, Rotavirus | 21, Salmonella sp | 22, Staphylococcus aureus | 23, Streptococcus - Group B (Group B Strep) | 24, Streptococcus pneumoniae | 25, Streptococcus pyogenes (Group A Strep) | 26, Varicella | 27, Other (specify) | 28, None",,,,,,,,,,,,
other,inform_health_facilitybased_cause_of_death_event_c,,text,"Other, specify",,,,,,,[sep_lab_test_results(27)]=1,,,,,,
